Sample,Mean_Wolbachia_Titer,Std_Wolbachia_Titer,Cell_Count,batch
mei_P26_uninf-1,0.11581393151406563,1.0997509887600556,1182,0
mei_P26_uninf-2,0.10411059893164272,0.9138832622808921,1375,1
OreR-wMel-2,0.010250132788016076,0.14284927620746618,2190,2
OreR-uninf-2,0.05681657251979139,0.3569945370336643,327,3
OreR-uninf-1,0.14595024660396028,2.1402257844171335,459,4
OreR-wMel-1,0.00669798428887373,0.08500533776133003,685,5
mei-P26-wMel-2,0.5866951832822107,3.7360324301867602,1974,6
mei-P26-wMel-1,0.449300386429574,5.563142539166331,2033,7
